Computer 1,Computer 2
1.7894437,1.9833302
1.81458,1.8895193
1.8126367,1.8818547
1.7979298,1.8952618
1.7943935,1.9006512
1.7934057,1.9181656
1.7894487,1.863955
1.7894807,1.904041
1.7905246,1.9501688
1.7946233,1.8816008
1.7921807,1.9101593
1.799905,1.8859799
1.7880766,1.8827084
1.7914291,2.6584679
1.7944687,2.0014337
1.7955727,1.9072951
1.7934347,1.9830082
1.7920097,2.0421536
1.7944616,2.5532567
1.7876742,1.9177894
1.8034338,1.9119748
1.7943027,2.7166059
1.7913473,1.8881723
1.7901154,1.9353357
1.7964579,2.7605275
1.7903203,2.7918053
1.7930048,2.7144915
1.8001705,1.8890841
1.7867559,2.7383606
1.8000642,1.9080219
1.7935659,1.952658
1.7908486,1.8974809
1.7980337,1.9339503
1.7948299,1.9505797
1.8112278,2.0301579
1.8284687,2.7522005
1.8134244,2.0577012
1.7988434,1.9434187
1.8203548,2.7709582
1.7917194,1.9104064
1.7924635,1.9074719
1.7919223,2.4415303
1.7949754,2.2684849
1.7921287,2.6298007
1.7996511,1.9322942
1.7976008,2.8513222
1.7927728,1.8913735
1.7987993,2.813737
1.7955905,1.9102797
1.7944926,2.7358499
