PPV,Person,Distance
0,0,2.43
44,1,2.08
44,2,2.36
2,3,0.76
19,4,2.11
92,5,1.76
40,6,0.98
70,7,4.53
40,8,4.54
0,9,6.86
44,10,5.85
0,11,5.7
0,12,1.46
0,13,3.52
0,14,6.53
44,15,5.33
58,16,3.36
70,17,6.17
40,18,0.76
71,19,1.39
0,20,2.98
40,21,3.59
0,22,2.11
70,23,0.7
40,24,6.55
0,25,5.83
0,26,4.85
71,27,3.35
0,28,3.54
0,29,4.88
44,30,3.97
0,31,2.43
44,32,5.2
58,33,2.93
19,34,2.76
0,35,3.79
40,36,4.4
40,37,3.23
40,38,2.71
19,39,3.48
0,40,3.66
40,41,2.5
40,42,3.69
0,43,4.1
58,44,3.53
40,45,1.75
44,46,5.64
44,47,4.57
70,48,6.21
40,49,1.91
40,50,2.71
40,51,3.29
44,52,3.39
0,53,7.77
31,54,3.76
0,55,7.08
0,56,6.66
40,57,2.54
44,58,3.64
31,59,4.31
97,60,2.27
44,61,4.45
2,62,1.44
19,63,2.53
40,64,3.04
58,65,5.97
0,66,7.27
58,67,5.53
44,68,6.99
40,69,3.18
0,70,2.83
44,71,2.44
2,72,2.08
70,73,2.4
58,74,4.84
44,75,3.32
44,76,3.3
44,77,0.32
40,78,2.25
5,79,2.07
19,80,2.08
19,81,6.45
31,82,5.17
40,83,1.44
31,84,7.18
44,85,5.45
0,86,2.13
58,87,3.53
40,88,4.33
0,89,2.93
92,90,1.83
70,91,4.22
40,92,4.85
92,93,2.12
0,94,7.29
19,95,2.03
70,96,7.58
39,97,2.73
19,98,5.91
15,99,1.67
40,100,3.29
70,101,2.91
44,102,3.3
19,103,3.24
40,104,2.19
0,105,2.39
70,106,1.82
70,107,1.63
44,108,6.0
92,109,1.32
40,110,2.47
58,111,3.67
92,112,0.99
44,113,3.13
58,114,5.29
71,115,1.34
0,116,1.79
40,117,2.48
97,118,4.97
31,119,2.79
40,120,3.17
44,121,2.87
44,122,5.84
0,123,5.5
44,124,1.31
97,125,0.99
5,126,2.22
44,127,6.13
39,128,2.17
92,129,3.05
40,130,2.39
44,131,1.27
19,132,0.7
40,133,4.22
40,134,3.24
5,135,2.68
44,136,2.55
40,137,4.37
70,138,1.51
70,139,2.65
5,140,2.17
39,141,3.03
40,142,4.06
5,143,3.24
58,144,5.88
40,145,0.19
19,146,2.99
31,147,5.59
40,148,8.11
92,149,1.6
0,150,6.92
44,151,6.67
70,152,2.62
19,153,2.46
0,154,6.66
0,155,2.33
0,156,7.41
40,157,3.26
58,158,4.55
2,159,0.42
40,160,2.32
92,161,1.42
0,162,5.8
0,163,5.42
40,164,3.56
31,165,4.34
58,166,4.63
44,167,1.76
58,168,4.63
2,169,2.91
40,170,0.87
0,171,7.32
40,172,4.11
58,173,4.57
0,174,7.06
40,175,7.66
2,176,0.53
44,177,6.03
0,178,5.53
58,179,1.06
19,180,2.71
40,181,1.56
2,182,1.5
0,183,6.14
58,184,1.26
97,185,3.26
2,186,2.23
40,187,0.63
0,188,6.06
70,189,8.62
44,190,2.72
40,191,3.3
40,192,4.61
58,193,4.67
58,194,5.67
31,195,7.74
5,196,0.72
0,197,7.24
97,198,2.32
2,199,2.13
0,200,7.51
58,201,1.6
58,202,5.78
2,203,0.7
44,204,6.29
0,205,5.44
19,206,1.39
44,207,7.96
31,208,6.94
44,209,6.39
92,210,1.55
44,211,1.91
70,212,5.39
0,213,2.97
2,214,0.51
