Method 1,Method 2,Method 3
170.6577733,178.94437,173.9460395
170.5137067,181.458,173.488573
170.4448104,181.26367,173.1755683
170.7024239,179.79298,173.178944
170.2235991,179.43935,173.3918517
170.3100137,179.34057,173.3928933
170.6155663,178.94487,173.4230079
170.1910461,178.94807,174.0466996
170.5543088,179.05246,172.671863
170.3799358,179.46233,172.5952885
170.2298384,179.21807,172.507063
170.4453299,179.9905,172.6084325
170.2659086,178.80766,172.2720479
170.1953457,179.14291,172.6628017
170.0827162,179.44687,172.4175361
170.4389002,179.55727,172.6773028
170.3540867,179.34347,172.4642134
170.2673114,179.20097,172.8083517
170.5570028,179.44616,172.5673133
170.1675475,178.76742,172.4572626
170.2888555,180.34338,172.3861299
170.3973354,179.43027,172.542035
170.3800955,179.13473,172.5148642
170.0147467,179.01154,172.2470075
170.5993865,179.64579,173.1493305
170.257317,179.03203,172.5205434
170.0668278,179.30048,172.8303435
170.3235877,180.01705,172.8394178
169.8996547,178.67559,172.6682056
169.9012456,180.00642,172.8274416
169.961832,179.35659,172.4825028
170.2513139,179.08486,172.6095376
170.2225164,179.80337,172.3874249
170.3435125,179.48299,172.5101962
170.3647881,181.12278,172.7261389
170.20457,182.84687,172.6625085
169.9685926,181.34244,172.3011071
170.1262588,179.88434,172.5673374
169.7106167,182.03548,172.4758734
170.0204824,179.17194,172.6103919
169.5962278,179.24635,172.3718269
169.6225629,179.19223,172.3685663
169.9687372,179.49754,172.7454409
170.0704026,179.21287,172.3594785
169.6682463,179.96511,172.2275731
170.0350717,179.76008,172.6147652
169.7511987,179.27728,172.5084506
169.7748591,179.87993,172.4040443
169.9963352,179.55905,172.5846158
169.6058942,179.44926,172.8058488
